Dataset,Signature,Clean_Name,Kruskal_Wallis_Stat,Omnibus_p_value,Mean_Ectopic,Mean_Eutopic,Mean_Normal,p_ectopic_vs_eutopic,p_ectopic_vs_normal,p_eutopic_vs_normal,Mean_Diseased,p_diseased_vs_normal,Omnibus_FDR
GSE25628,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN,Goldrath Eff Vs Memory Cd8 Tcell Dn,2.9120553359683754,0.23316062902469975,1935.1172715641176,1875.0474794841934,1987.4306426998521,0.1605283605283605,1.0,0.18115218115218118,,,0.3040574369936663
GSE25628,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP,Goldrath Eff Vs Memory Cd8 Tcell Up,8.125494071146235,0.017201700468993775,1487.522032467797,2017.3810965101711,2393.916540935889,0.020668220668220667,0.01998001998001998,0.2823842823842824,,,0.04921120650906499
GSE25628,GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN,Goldrath Naive Vs Eff Cd8 Tcell Dn,6.9525691699604835,0.030922086251519487,1559.6964555829063,1969.2860835531023,2190.671219330299,0.028127428127428127,0.029304029304029304,0.5727605727605728,,,0.0694250710679281
GSE25628,GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP,Goldrath Naive Vs Eff Cd8 Tcell Up,11.184782608695642,0.0037261069468818415,2298.990500633419,2321.484232961312,2158.7695650768196,0.7209013209013208,0.004662004662004662,0.000666000666000666,,,0.02628046201327655
GSE25628,GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN,Goldrath Naive Vs Memory Cd8 Tcell Dn,0.13735177865612513,0.9336292302428393,1457.6589879313108,1464.5427796997683,1420.91578826758,0.8784770784770783,1.0,0.5727605727605728,,,0.9415528068191085
GSE25628,GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP,Goldrath Naive Vs Memory Cd8 Tcell Up,7.705533596837938,0.02122094107221386,1989.9473122130562,2085.3506539466416,1920.1580516691386,0.1605283605283605,0.18115218115218118,0.004662004662004662,,,0.05484797077126043
GSE25628,GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN,Gse10094 Lcmv Vs Listeria Ind Eff Cd4 Tcell Dn,3.955533596837938,0.13837791829509066,405.9476535427631,374.1887593147678,290.493182827106,0.23449883449883446,0.1078921078921079,0.22843822843822847,,,0.20017138299693635
GSE25628,GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP,Gse10094 Lcmv Vs Listeria Ind Eff Cd4 Tcell Up,11.71343873517786,0.0028606129252342094,1208.227179336785,1253.653188345686,1617.9905658257255,0.5053613053613053,0.002664002664002664,0.000666000666000666,,,0.025588297096691765
GSE25628,GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN,Gse10147 Il3 And Hivp17 Vs Il3 And Cpg Stim Pdc Dn,10.062252964426875,0.006531448863938559,2019.8520183069643,2037.818607946195,1757.5094655911446,0.959129759129759,0.012654012654012654,0.000666000666000666,,,0.03080889567248548
GSE25628,GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP,Gse10147 Il3 And Hivp17 Vs Il3 And Cpg Stim Pdc Up,6.053359683794454,0.04847632028095599,882.5001929367216,771.3961975072812,702.7617292900321,0.23449883449883446,0.029304029304029304,0.1078921078921079,,,0.09335117487728774
GSE25628,GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN,Gse10147 Il3 Vs Il3 And Cpg Stim Pdc Dn,7.901185770750985,0.019243289327765777,1380.648278650247,1405.3571920307256,1569.6192569620544,0.7984459984459983,0.012654012654012654,0.012654012654012654,,,0.05188340099882394
GSE25628,GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP,Gse10147 Il3 Vs Il3 And Cpg Stim Pdc Up,1.0385375494071099,0.5949554354150994,181.37929671499228,204.69439081723283,109.85482152608984,0.7209013209013208,0.4908424908424909,0.4135864135864136,,,0.6532843996714818
GSE25628,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN,Gse10147 Il3 Vs Il3 And Hivp17 Stim Pdc Dn,13.00197628458497,0.0015019543148830565,1295.4218939360017,1073.307287610443,814.4252782533048,0.020668220668220667,0.001332001332001332,0.012654012654012654,,,0.02481665925737804
GSE25628,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP,Gse10147 Il3 Vs Il3 And Hivp17 Stim Pdc Up,4.453557312252968,0.10787537469929181,1247.9747142621522,1318.3545947866173,1359.9082838613451,0.23449883449883446,0.01998001998001998,0.9497169497169498,,,0.16454878695521402
GSE25628,GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN,Gse10211 Uv Inact Sendai Vs Live Sendai Virus Tracheal Epithelial Cells Dn,12.901185770750985,0.0015795853779889404,1678.2835498377347,1640.5703871224334,1358.3837936479504,0.4418026418026417,0.000666000666000666,0.000666000666000666,,,0.02481665925737804
