"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"204439_at",1.28923457235696,6.60906667696004,3.71662230461405,0.000600794114898534,0.00329246998710815
"209616_s_at",1.01941428448569,7.09167093054465,3.70384381270274,0.000623912854834714,0.00338667316451095
"219747_at",1.06668555420908,7.42397231832177,3.70206536368742,0.000627197624539024,0.00340036054559646
"201428_at",-1.30819108824672,6.91629200102021,-3.70086513379956,0.000629423846664693,0.00340993912069786
"202628_s_at",1.79303109583289,7.13281107106785,3.69536374998441,0.000639725814452568,0.00345315531101523
"210299_s_at",1.09884850974955,6.97536927030912,3.69522369120657,0.000639990200240389,0.00345322507360601
"222162_s_at",1.38209320732526,8.8573513805452,3.69211897181608,0.000645878021300034,0.00347961902793249
"203837_at",1.37321394818726,8.00810948754439,3.68942660455558,0.000651026084810737,0.00349757240960721
"205381_at",1.66335187835237,8.16309163634411,3.68803871208938,0.000653695290018298,0.00350815947379851
"205952_at",2.15001575886253,5.82333503873796,3.68748780086699,0.000654757727602945,0.00351291608440397
"221234_s_at",1.04491999537336,5.65613299938671,3.68733396746474,0.000655054693837325,0.00351291608440397
"215800_at",-1.02137847641959,5.69822319280497,-3.68689886947003,0.000655895327438964,0.00351657766771548
"205041_s_at",-2.0425859068596,5.33256393546245,-3.68558163429248,0.00065844664098993,0.00352262627793772
"211654_x_at",1.08643239269512,7.89891286610909,3.682806138152,0.000663853753313492,0.00354389409598961
"219025_at",-1.05590163950006,9.28669009824136,-3.68006352867499,0.000669238804561654,0.00356836592848731
"209396_s_at",2.53689955810293,6.46230577927273,3.67892077489048,0.000671494973824937,0.00357611607265076
"202340_x_at",1.34424720860018,8.52928225886901,3.6767501200512,0.000675800748870515,0.00359327954424794
"202833_s_at",-1.9934682225802,8.11073425080859,-3.67219347575853,0.000684926120234275,0.00363461152464482
"222196_at",-1.67838537390176,5.92249382947412,-3.67010282358956,0.000689152576859621,0.00365175548041132
"210397_at",-2.23508064901061,7.90485446823887,-3.66813847165952,0.000693146583988345,0.00366807029236937
"211656_x_at",1.17086014348189,8.05194723890034,3.66806057952749,0.000693305416312338,0.00366807029236937
"204320_at",1.42527509048742,5.11192824859015,3.65948332535993,0.000711011641958908,0.00373510552324114
"209540_at",-1.84546988930403,9.53300151123693,-3.65942957514897,0.000711123960636946,0.00373510552324114
"37145_at",-2.65093331731255,8.7494007782823,-3.65645272779222,0.000717371245562637,0.00375798984807787
"205830_at",-1.29760280963564,4.32477202698621,-3.65641329103178,0.000717454362071876,0.00375798984807787
"206391_at",1.91415647331369,7.54723380299213,3.6494097156051,0.000732362958453132,0.00382170288720085
"202357_s_at",1.68875026264764,7.54938098997887,3.64617896220987,0.000739340382889314,0.00385089682245154
"204464_s_at",-1.28701585517457,9.83247415360603,-3.6422010145233,0.000748019421619601,0.00388520136521796
"201694_s_at",1.42952434041763,10.0098891326436,3.6395340889229,0.000753892895218642,0.00391023795734242
"215646_s_at",-1.78682694403615,8.60414453377874,-3.63531756790696,0.000763269741965649,0.00394161607855977
"221648_s_at",-1.10553643253301,5.70108594279867,-3.62872637069555,0.000778152632636296,0.00400899773294144
"221731_x_at",-1.29004384785909,10.9839201627601,-3.62781390349997,0.000780234847318988,0.00401693822364805
"203504_s_at",1.09216354491554,6.89692528069454,3.62718545336707,0.000781672061541512,0.00402247828943411
"210512_s_at",-1.01906375622342,8.58034150167136,-3.62299731878087,0.00079131521406789,0.00406178088105769
"209904_at",-1.33507204134737,5.81835328828983,-3.62251332959636,0.000792436942658407,0.00406472893658792
"204508_s_at",-1.46715003091421,6.97468827387282,-3.62208801526232,0.000793423944343425,0.00406791834479597
"204174_at",1.06371838917423,7.62331759323608,3.62027287395749,0.000797649539713357,0.00408394364426441
"203372_s_at",-1.01058643379067,6.56230743783002,-3.61772206383826,0.000803624341381712,0.00410698312754311
"204620_s_at",-1.39373147844984,10.2631773427807,-3.61413858902195,0.000812090707087275,0.00414169978978554
"205309_at",-1.01334244715132,5.29034367189252,-3.61004709992361,0.000821862171842575,0.0041829160617174
"205883_at",1.86708835765661,6.53442513553076,3.60386877244328,0.000836832010548894,0.00424069761123697
"204845_s_at",-1.02700629771471,5.08468356972336,-3.58894928963456,0.000874069537120145,0.00439144047776849
"209619_at",1.03473090150755,10.8514207424702,3.58447103598968,0.000885554010969112,0.00443812974181303
"214696_at",1.04567537792537,7.69912491944464,3.57667720315277,0.000905887755440898,0.00452071270787565
"219225_at",-1.50900891075338,6.83054484006037,-3.57044957662977,0.000922456867977227,0.00459413629508801
