"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"211161_s_at","COL3A1",-0.871572113268273,12.0462961650391,-6.41162403920081,1.87569097241081e-06,2.24528574918837e-05
"206796_at","CCN4",1.24407187576691,5.98599646740047,6.41102202419952,1.8782726483833e-06,2.24716862449167e-05
"219617_at","CAMKMT",-0.574332393815123,5.97408933941321,-6.41044774910668,1.88073875387593e-06,2.24891128395567e-05
"212489_at","COL5A1",-1.27487071177766,8.97675504438029,-6.40819503286423,1.89044461545319e-06,2.25930443661216e-05
"218319_at","PELI1",-0.935104513158925,7.98511271429033,-6.40765878062757,1.89276261035881e-06,2.26086180541358e-05
"221787_at","C6orf120",0.562720746637943,7.34292996783183,6.40613412424958,1.89936896878167e-06,2.26753711240886e-05
"209104_s_at","NHP2",-0.71376959198137,9.73087898254376,-6.40498363719303,1.90436966401408e-06,2.27228939503169e-05
"214601_at","TPH1",0.555910742998364,3.82005254885059,6.40263023904878,1.91464093267813e-06,2.2833220587404e-05
"203325_s_at","COL5A1",-1.18220392969119,9.81936451362601,-6.40235415965318,1.91584957478939e-06,2.28354098328428e-05
"204369_at","PIK3CA",0.722808884226488,7.12821256668944,6.39788440896428,1.93552661640783e-06,2.30576077185653e-05
"212116_at","TRIM27",-0.58896606396091,7.63460595761437,-6.39358300594221,1.95465783938764e-06,2.32730693148254e-05
"202630_at","APPBP2",0.606768145362082,8.25884335905581,6.39320837088537,1.95633322670268e-06,2.3280574407722e-05
"204798_at","MYB",-0.946851504199439,5.77037788637513,-6.3928297882964,1.95802776039181e-06,2.32882992088886e-05
"220924_s_at","SLC38A2",0.974289913985203,10.2580969374659,6.38823392416023,1.97871901871234e-06,2.35112464987548e-05
"217914_at","TPCN1",0.673047124206573,8.25350877842885,6.38819759293633,1.97888347556517e-06,2.35112464987548e-05
"204021_s_at","PURA",0.690285946355136,8.30535773918313,6.38648020517701,1.98667337803628e-06,2.35912168670118e-05
"209409_at","GRB10",0.637916301209647,7.66173385188653,6.3860596287109,1.98858585017683e-06,2.3601346288966e-05
"206993_at","DMAC2L",-0.701890877744115,5.84810394313212,-6.3844753332234,1.99580698975922e-06,2.36743242498204e-05
"203167_at","TIMP2",0.732457220114945,7.87691922392505,6.38424474662696,1.99686022648528e-06,2.36743242498204e-05
"208766_s_at","HNRNPR",-0.469552500713119,10.564636992259,-6.38384842918362,1.99867179115036e-06,2.36831976018386e-05
"200696_s_at","GSN",0.930459678326386,10.3387908847548,6.38345854152598,2.00045560626877e-06,2.36917328765813e-05
"209013_x_at","TRIO",0.426009907762691,7.05769987449798,6.38245102760682,2.00507273454555e-06,2.37337966564672e-05
"211509_s_at","RTN4",0.647764835897194,10.4278482300804,6.38199979656078,2.00714412244059e-06,2.37456981495534e-05
"205617_at","PRRG2",-0.496834996562764,6.09505448405919,-6.37933801946465,2.01940771311148e-06,2.38781027733463e-05
"201153_s_at","MBNL1",0.651981352548683,9.51739742784202,6.37836417117998,2.02391365223531e-06,2.39186867007141e-05
