"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"206499_s_at","RCC1",-1.27359183241667,7.30540172054545,-3.9883932279593,0.00063199435214262,0.0063193537585219
"205836_s_at","YTHDC2",-1.184335145125,5.25338903504545,-3.98837618106938,0.000632020477352732,0.0063193537585219
"205087_at","RWDD3",-1.34926759533333,6.6348150265,-3.98737016641378,0.000633564146672496,0.00632910694862027
"220769_s_at","DNAI4",-1.17176077033334,3.71086581227273,-3.98315307044507,0.00064007589399467,0.00637699941436461
"208097_s_at","TMX1",-1.36056865670833,6.63473709518182,-3.98173751781025,0.000642276563037723,0.00638749776553186
"202341_s_at","TRIM2",-1.42106388308334,8.63261674777273,-3.98057726701759,0.000644085934525089,0.00640128952738279
"203395_s_at","HES1",1.23669645808333,6.65634344486364,3.97499019717361,0.000652869923553285,0.00645945569316067
"204160_s_at","ENPP4",-1.67281073375,6.13868520527273,-3.97491332025021,0.000652991615612417,0.00645945569316067
"212572_at","STK38L",-1.250115986125,6.96321762386364,-3.97324098570088,0.000655644414476175,0.00647419797042808
"212548_s_at","FRYL",-1.19489659716667,8.33565568268182,-3.9721104862945,0.00065744376933859,0.00648390250569776
"202413_s_at","USP1",-1.424425962625,9.25720416790909,-3.96565606000339,0.000667811261267918,0.00656523895289735
"203423_at","RBP1",1.38501888408333,11.2997436319545,3.9592849948275,0.000678204042989736,0.00663081226439199
"210282_at","ZMYM2",-1.08364695866667,3.74147612836364,-3.95771356370733,0.000680792028258973,0.00664592638629498
"219540_at","ZNF267",-1.31523569941667,5.02374042854545,-3.95665218430899,0.00068254555616293,0.0066601258671229
"41037_at","TEAD4",1.05230773720833,6.36176865922727,3.95562123277867,0.000684253106502121,0.00667094374334694
"222127_s_at","EXOC1",-1.18898799983334,8.44393009413636,-3.95325495246197,0.00068818839780935,0.00670637486351657
"203519_s_at","UPF2",-1.27955176495834,7.88543524527273,-3.9506095677434,0.000692614464043061,0.00673183787761225
"217886_at","EPS15",-1.32659492666667,7.71316349190909,-3.94854428256536,0.000696089581981096,0.00675088707783756
"212060_at","U2SURP",-1.48515295720834,6.32192409536364,-3.94724221860741,0.000698289368022184,0.00676338793540443
"203525_s_at","APC",-1.16632824141667,5.47675478568182,-3.94393683380056,0.000703904726809873,0.00680298724474774
"210997_at","HGF",2.06777425291666,5.01614536968182,3.93929186361182,0.00071187166280183,0.00685915442570778
"212813_at","JAM3",1.283966348125,8.9025632365,3.93422431017178,0.000720665496799805,0.00691713489590047
"209018_s_at","PINK1",1.00714357833333,7.73145246340909,3.93402850753203,0.000721007431757192,0.00691713489590047
"208851_s_at","THY1",1.99270448483333,9.32625928754545,3.93312290822749,0.000722590997341941,0.00691713489590047
"201893_x_at","DCN",1.16541188875,12.5439029559091,3.93192514998049,0.000724690745100494,0.00692872778051661
"205547_s_at","TAGLN",2.95850033095833,10.7735383905455,3.93093576420035,0.00072642976749829,0.00693489221433279
"215692_s_at","MPPED2",-2.16442195483334,5.32531121145455,-3.93018424067398,0.000727753470934049,0.00693842012074281
"213387_at","ATAD2B",-1.272663748875,6.17672193031818,-3.92994007062313,0.000728184057159133,0.00693842012074281
"202947_s_at","GYPC",1.10936697333333,9.22869719922727,3.92987954591126,0.000728290829677985,0.00693842012074281
"222239_s_at","INTS6",-1.32701450604167,5.56128922168182,-3.92887516368461,0.000730064944248379,0.00693842012074281
"221935_s_at","EOGT",-1.6166922025,5.81804571418182,-3.92774677215444,0.000732063220655401,0.00695310755611511
"222372_at","MAGI1",-1.49579456929167,6.58886835431818,-3.92119205820618,0.000743778781135944,0.00703872553413994
"208612_at","PDIA3",-1.35166336629167,10.2166116768636,-3.91795824288006,0.000749627062025167,0.00708504117977711
"203481_at","SLF2",-1.640061434625,6.07866102513636,-3.9157975161373,0.000753560083470497,0.00711919337551834
"218769_s_at","ANKRA2",-1.39516639775,7.36309906531818,-3.91072648289001,0.000762871097698964,0.0071858264031458
"218498_s_at","ERO1A",-1.130285102625,6.45576726859091,-3.90892810354548,0.000766200466397046,0.00721226670418743
"202273_at","PDGFRB",1.18927847329166,9.22049834218182,3.90833757697866,0.000767296857248472,0.00721226670418743
"219571_s_at","ZNF12",-1.34187415654167,6.89727807377273,-3.90641855677827,0.000770870526513847,0.00723974819525673
"212036_s_at","PNN",-1.76630030483334,8.43654492140909,-3.90190082606707,0.000779348903504095,0.00729783754659972
"212217_at","PREPL",-1.11011772770834,7.12854402809091,-3.90090805505253,0.000781224381830815,0.00730661024212795
"216682_s_at","SUPT20H",-1.082937515625,4.797384843,-3.90088408382949,0.000781269721988992,0.00730661024212795
"201660_at","ACSL3",-2.01354907150001,8.02783974954546,-3.89793587823583,0.000786866017930677,0.00734353342331031
"219158_s_at","NAA15",-1.641253860875,7.435339714,-3.89557489184798,0.00079137629380732,0.00737635552181827
"202850_at","ABCD3",-1.33225860733334,8.43219351440909,-3.8918777317077,0.000798490651206824,0.00742462025561561
"213701_at","RLIG1",-1.291831309,7.36158380831818,-3.89184489564544,0.000798554120054541,0.00742462025561561
"219688_at","BBS7",-1.11130440891667,4.60439758936364,-3.89135137915982,0.000799508641030308,0.00743039382404346
"217922_at","MAN1A2",-1.27125577241667,8.73377440140909,-3.89058942478609,0.000800984575017122,0.00743790470098226
"205178_s_at","RBBP6",-1.636740397875,8.09525289777273,-3.89001189735452,0.000802105066166148,0.00744520606624303
"218859_s_at","ESF1",-1.55081807795834,8.09792648045454,-3.88780419652579,0.000806402681440947,0.00746332884688824
"210676_x_at","RGPD5",-1.14502154754167,6.11629594704545,-3.88658568923011,0.000808784452126562,0.00747914911077365
"203983_at","TSNAX",-1.32408969491667,7.67790449918182,-3.88607195863187,0.000809790710382279,0.00747914911077365
"213623_at","KIF3A",-1.24909500079167,6.01943156286364,-3.87662289805459,0.000828521700252652,0.00762319982726983
"203689_s_at","FMR1",-1.18228104991667,7.45366418086364,-3.87496417608581,0.000831853821364312,0.00764173508393105
"218520_at","TBK1",-1.12273905725,7.32254212163636,-3.8740465247886,0.000833702945184398,0.00764610971999705
"212543_at","CRYBG1",-1.11968367841667,7.593980325,-3.87141743352425,0.000839023304688317,0.00767279234751298
"212859_x_at","MT1E",1.62724044154166,10.5922913000909,3.86904117435417,0.000843860954748207,0.00771021643981655
