"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"219850_s_at",-2.46303754088016,5.209628096752,-7.72981427532681,1.51059547663735e-09,3.36515354330503e-05
"219976_at",-2.0739267461783,5.53856745004996,-7.05557408946545,1.33516372344571e-08,0.000148717211336001
"214734_at",-1.60828628809597,6.06832958871334,-6.51898302860266,7.71494140633932e-08,0.000445877462915006
"218918_at",1.18546146920522,7.51042865454001,6.31520017236291,1.50587068223377e-07,0.000445877462915006
"201185_at",1.46327216904782,10.3260166730915,6.30731317387964,1.54538197925893e-07,0.000445877462915006
"204114_at",1.86323971120299,8.0724214121512,6.27933370990107,1.69411137533723e-07,0.000445877462915006
"212249_at",-1.57607263753431,6.72894896882489,-6.26654339336888,1.76679285287269e-07,0.000445877462915006
"211488_s_at",-1.39703077646049,5.49573047031928,-6.26064347450679,1.80136336411324e-07,0.000445877462915006
"37079_at",-1.83444533531943,4.74682227482453,-6.19224975891808,2.25510952819366e-07,0.000481135916283067
"213929_at",-1.50057553934772,5.22071918198502,-6.17638308638252,2.3757665211266e-07,0.000481135916283067
"37005_at",1.58682295124029,10.2208742797927,5.875257746177,6.38718679831251e-07,0.00101762420278143
"203276_at",-2.30167303350402,6.3520517700386,-5.81063396339085,7.89599064350107e-07,0.00101762420278143
"208070_s_at",-1.79538400924472,8.86379901208804,-5.79375039914171,8.3456450902544e-07,0.00101762420278143
"217525_at",1.54379928963944,8.39685568197893,5.75995962516579,9.32371542347267e-07,0.00101762420278143
"212239_at",-1.47695825133321,9.41612381670062,-5.75354158594014,9.52200952861554e-07,0.00101762420278143
"201621_at",1.63237140836673,9.39733308131321,5.73709023134444,1.0049707079585e-06,0.00101762420278143
"209865_at",-1.1535754125098,5.72898350718288,-5.64279341949152,1.36878856684557e-06,0.00118320865702477
"201666_at",1.30702786103184,11.714838004377,5.55782172372254,1.80761276982418e-06,0.00129292445479744
"201431_s_at",1.62532222853843,8.60343619140372,5.54358226300076,1.89377497048475e-06,0.00129292445479744
"209789_at",1.13731334401438,6.84096914220124,5.54013014260781,1.91527167070591e-06,0.00129292445479744
"205931_s_at",-1.18835870099871,5.52884819885821,-5.49046925079471,2.25277006861598e-06,0.00147602820054583
"204163_at",1.16426863402423,8.20795661240253,5.41536541909744,2.87867825646717e-06,0.00166560949677804
"215425_at",-1.03494768323397,4.37637842794519,-5.36887367533892,3.3498386220889e-06,0.00177399294130155
"203304_at",1.0908875754453,8.14094855567041,5.35507613485963,3.5038689867248e-06,0.00177399294130155
"203917_at",-1.71974341404169,7.77124854057986,-5.34006325954718,3.67946446830295e-06,0.00182149844356411
"209687_at",1.34530756088819,9.97255648217445,5.32982330820183,3.80421886195915e-06,0.00184231703451878
"203060_s_at",1.42260589943522,9.38426960425259,5.30514348158968,4.12241889561185e-06,0.00195393884547969
"201792_at",1.66921803366257,10.052877321368,5.28878947219339,4.34768506230471e-06,0.00201777875277004
"219494_at",-1.47312307993069,6.19716982716541,-5.28026219135701,4.46994529481947e-06,0.00203218308842231
"203167_at",1.2420045289198,8.25221549869585,5.2552885427057,4.84797626969558e-06,0.00215996734720017
"201283_s_at",-1.05078468799764,5.19374543445606,-5.23599376230387,5.16161312252663e-06,0.00220658580543161
"201809_s_at",1.08577409507785,9.19037353199378,5.22887692263206,5.28230859132169e-06,0.00220658580543161
"214483_s_at",-1.29007483362949,5.87056145329521,-5.22114991717141,5.41652220633155e-06,0.00220658580543161
"213905_x_at",1.64367886981034,8.53721568097621,5.14140310072684,7.01522300644094e-06,0.00274172145464009
"217427_s_at",-1.40726105206825,6.8182381641758,-5.10924516485665,7.78501314046441e-06,0.00283372889576132
"212240_s_at",-1.35786094073041,9.11688953801669,-5.0875877813284,8.34999784976543e-06,0.00290645159530038
"205226_at",1.21402350980651,8.064792593083,5.02350818728597,1.02703664471934e-05,0.00346655989915343
"201691_s_at",-1.03953697299406,4.23052121394451,-5.01510648851878,1.0552572476122e-05,0.0035086515977697
"219036_at",-1.3952678596519,7.12890274532992,-4.97019643695135,1.21962383121492e-05,0.00371825580700936
"205709_s_at",-1.31825213913446,6.53139724406043,-4.96189613186819,1.25266167109325e-05,0.00371825580700936
"213381_at",1.02708650297713,7.51998120424632,4.95709195148197,1.27218635814956e-05,0.00371825580700936
"210145_at",-1.70582523412525,6.49475329108707,-4.90197551231923,1.51887819117872e-05,0.00414216406028885
"221103_s_at",-1.16452264197316,4.84377890453402,-4.89701043383481,1.5432940566682e-05,0.00414216406028885
"213917_at",-1.51017073809699,7.56673869869178,-4.86746534964583,1.69680520639526e-05,0.00439531739335665
"203593_at",-1.1772037830802,7.30137220441081,-4.85106611493121,1.78841967936295e-05,0.00452734377240552
"206796_at",1.2962190715554,5.3324070565844,4.84320764827589,1.8340345042036e-05,0.00459065018540939
"204240_s_at",-1.30174926828989,5.60212500734123,-4.83502173491765,1.88277076272515e-05,0.00460906420672838
"205547_s_at",2.1743820705261,10.8222280464539,4.82050927231994,1.97233352759327e-05,0.00472448107464466
"209496_at",1.17131979119941,9.99977714755982,4.80083436181524,2.10049894033685e-05,0.00485442323527087
"203058_s_at",1.36222949889002,8.03191085286699,4.7863899267635,2.1997871268344e-05,0.00494996543681717
"211062_s_at",1.36229281444351,8.88207998832688,4.76286285344097,2.37150161132388e-05,0.00501842796869459
"214007_s_at",-1.22003386710886,6.05162146629329,-4.75208209972828,2.45453641424098e-05,0.00501842796869459
"213365_at",-1.13620080401728,6.46918640679335,-4.75048538677264,2.46707567010091e-05,0.00501842796869459
"201664_at",-1.54690275087273,8.37589577639507,-4.71654060373036,2.7490932126541e-05,0.00546799549091922
"203344_s_at",-1.1439721969188,8.49792362060842,-4.70476329860464,2.85417734456221e-05,0.00551882360567798
"222334_at",-1.49745251653814,7.4578638177717,-4.61412968349459,3.80657353116698e-05,0.00657356888014006
"220269_at",-1.95141376162819,4.34016738407485,-4.61024208653554,3.85376426247779e-05,0.00660386972886291
"208790_s_at",1.11279814404374,7.79625379867114,4.60168154441951,3.95971609890419e-05,0.00672824621941226
"218980_at",1.28988925860327,6.47231193182968,4.59643550598157,4.02605486302988e-05,0.00674349054012907
"213253_at",-1.13853304933783,6.63444572783721,-4.56857847509535,4.39704800646181e-05,0.00706513779764704
"220636_at",-1.31377713354964,4.85009873636688,-4.55855618292305,4.53857677407985e-05,0.00707790702106308
"203088_at",1.43167177926524,9.11032780407395,4.5496822810002,4.66761765671087e-05,0.00719912927305689
"215692_s_at",-1.4569965079067,5.25758783907961,-4.51262366110207,5.24657951526926e-05,0.00772834577868148
"204682_at",1.46365013390285,8.7147712546509,4.51102825983201,5.2730270516031e-05,0.00772834577868148
"208131_s_at",2.17324470242287,8.1693514544449,4.50309808006368,5.40644269608395e-05,0.00772834577868148
"204396_s_at",1.11151124064536,8.09456795614467,4.50101660003882,5.44200651183233e-05,0.00772834577868148
"208747_s_at",1.00883595264357,11.1643975680505,4.49449215993939,5.55497625811324e-05,0.00778661179183073
"201261_x_at",1.39446082524926,8.43641459383109,4.49231128465102,5.59324855358584e-05,0.00778661179183073
"204243_at",-1.13791178980715,6.97156947624215,-4.49093179405559,5.6175907825001e-05,0.00778661179183073
"214705_at",-1.19608610156006,4.69270288736927,-4.49019921421182,5.63055997748793e-05,0.00778661179183073
"202709_at",1.10691937413399,9.23953296933158,4.47555657944507,5.89603448945782e-05,0.00786502756417078
"211548_s_at",-2.19567594924917,6.38886862601888,-4.47070049605884,5.98675874397968e-05,0.00791785332296936
"211813_x_at",1.05992790769668,11.7243287757425,4.45863073856148,6.21822623390965e-05,0.00806597791043516
"221747_at",1.00153089572656,7.98995947883069,4.45701022166987,6.24996446593313e-05,0.00806597791043516
"201860_s_at",1.22503942421003,9.50866026537959,4.41568406026402,7.11522508095909e-05,0.00870911368838053
"200934_at",-1.0311915317708,9.49575354173042,-4.39162578651973,7.67191097817614e-05,0.00904270692385343
"205499_at",1.47609053310099,7.20594743443883,4.38035989595345,7.94704857293773e-05,0.00922064588850697
"203016_s_at",-1.10273376891559,6.83118557605764,-4.37509838515404,8.07883424172989e-05,0.00932498395870553
"201567_s_at",-1.03436415803007,8.02652915136492,-4.35841153109244,8.51110519226652e-05,0.00958004138877556
"211896_s_at",1.07502535493223,11.4586829817576,4.35641020126113,8.56444617255366e-05,0.00958004138877556
"208358_s_at",-1.03442638690236,5.47956528952396,-4.35204176893759,8.68201620953153e-05,0.00958004138877556
"214046_at",-1.2946334711677,4.226604243526,-4.35098105587223,8.71080127807798e-05,0.00958004138877556
"220591_s_at",-1.77780055029098,6.35032299280989,-4.34629300744968,8.83914576381431e-05,0.00958004138877556
"200841_s_at",-1.06116222739076,6.39448137417725,-4.34579933513496,8.85276823343318e-05,0.00958004138877556
"208434_at",-1.06197416709989,5.01999267631083,-4.32992433316968,9.30194739739471e-05,0.00982082853894607
"209267_s_at",-1.31124086565507,8.00067563612632,-4.31945746187036,9.61022364495828e-05,0.00991143296938591
"213290_at",1.0124914349124,7.91319840724069,4.3107620920634,9.87390553267483e-05,0.00994080513464623
"201058_s_at",1.49273214077447,9.87968511996969,4.30970482941796,9.90644494272776e-05,0.00994080513464623
"218979_at",-1.28707110656072,6.76624344205411,-4.29646374836834,0.000103229545621165,0.0100933065059487
"202949_s_at",1.40827987472974,9.58915074349442,4.28966850427013,0.000105433045390381,0.0100933065059487
"203835_at",1.09469002449851,7.36164538181225,4.26108870516438,0.00011521478971523,0.0106116170658204
"33767_at",1.49373911881521,5.7525260135214,4.26067896977024,0.000115361282183663,0.0106116170658204
"209598_at",1.16133700040924,6.75233318331239,4.25958666759108,0.000115752702203813,0.0106116170658204
"202202_s_at",1.07095689892282,8.06600972953199,4.24717572120152,0.000120292233715896,0.0108054439132622
"205699_at",-1.31314273716516,5.08590548300623,-4.23962324702982,0.000123139315590821,0.0109271822332473
"203914_x_at",-2.13703384455996,7.03200559261385,-4.23204527401602,0.000126062119403177,0.0109271822332473
"209981_at",1.0371884721772,7.23206303400851,4.23042245783606,0.00012669678610853,0.0109396290858129
"201689_s_at",-1.25798391454761,5.82284904551622,-4.21931899327338,0.000131123712408595,0.0111490188600239
"219869_s_at",-1.02661307644446,6.37693008872886,-4.19002283384072,0.000143541362422857,0.0114940071734936
"205190_at",-1.18755743784699,6.37322044024364,-4.18939440109489,0.000143819925461453,0.0114940071734936
"203913_s_at",-2.17314991029189,5.41885874512346,-4.18477940705555,0.000145881816834828,0.0115651574150515
"202086_at",1.27762543227015,8.20628201236976,4.18068744724905,0.000147734125891635,0.0116704720655601
"203987_at",-1.20467039007082,7.42919338322391,-4.16930886786883,0.000153006288870227,0.0118734331880068
"219179_at",1.09378013800986,7.78447886125946,4.15176497430591,0.00016149649416347,0.0121529189720743
"201508_at",1.04942413630834,10.9211778465925,4.14524414335771,0.000164767851902936,0.0123172262981265
"213472_at",-1.051260255535,4.28030390207284,-4.14342002897012,0.00016569447301267,0.0123450694826195
"205068_s_at",-1.00180400470891,7.23687584481856,-4.13810224098455,0.000168424905682831,0.0124651216740745
"213906_at",-1.18807126537865,4.6785443863924,-4.13138751364652,0.00017193529997901,0.0125993509132645
"202746_at",1.42403900570843,7.86995449217459,4.12780661817622,0.000173836401646961,0.012696896785211
"205442_at",-1.22526765026279,5.94585585301957,-4.11860711739994,0.000178814809730412,0.012835357862714
"209156_s_at",1.0394989797258,10.7783712372852,4.11744663057061,0.000179452601149538,0.012835357862714
"203895_at",-1.32427062751042,7.19670225210138,-4.08844236094785,0.00019613246743654,0.0135032720027137
"205739_x_at",-1.03347736557294,5.27668101719112,-4.08374053484339,0.000198974911999815,0.0135552419407336
"206176_at",1.27047704534011,6.33008969233085,4.07841176137589,0.000202244856830529,0.0136655075731098
"200974_at",1.42505036694644,11.3613565247437,4.07245980366104,0.000205959056575243,0.0136655075731098
"213222_at",-1.22800788727087,8.16917798053123,-4.07117980316442,0.000206766444719268,0.0136655075731098
"205666_at",1.55929077214197,6.49616840603024,4.05572223789643,0.000216763129864852,0.0140373030348817
"221275_s_at",-1.05908337749904,6.54382403332408,-4.04657008013,0.000222901961130548,0.014197273470675
"215314_at",-1.21976477671956,6.12323261582612,-4.03068665608667,0.000233959454850247,0.0143761551568671
"203666_at",1.1080103806223,8.63634387968102,4.00913660453422,0.000249817962618834,0.0148879946791649
"206698_at",-1.04004038960658,4.60457855319157,-4.00638097384457,0.000251919646744071,0.0148879946791649
"205046_at",-1.60981343460124,5.00968908702163,-3.99331384140572,0.00026212192454035,0.0151492972307854
"205792_at",1.81712627795003,7.29790196066462,3.98489638397524,0.000268905278692197,0.0152816739129432
"217523_at",-1.55595471045499,6.24061433053239,-3.97993205822383,0.000272985467077722,0.0152816739129432
"206059_at",-1.34676473347477,7.28598478879628,-3.97947035974748,0.00027336797914447,0.0152816739129432
"201690_s_at",-1.17990082351358,7.86738879565518,-3.97831402721608,0.00027432827330864,0.0152816739129432
"219115_s_at",-1.73216209244124,6.67999358132865,-3.97804451506073,0.000274552564085389,0.0152816739129432
"206529_x_at",-1.83196481046534,4.36269742705422,-3.9774118980125,0.000275079734214221,0.0152816739129432
"213070_at",-1.00328777147978,8.67760098821173,-3.97157865539289,0.000279987210867099,0.0154670334955998
"203562_at",1.07424565704239,7.67941936306509,3.97097576635134,0.000280499238327526,0.0154670334955998
"202112_at",1.00998332657513,9.51893762887688,3.92470811920439,0.000322626117338366,0.016740947761593
"207657_x_at",-1.03360024507484,9.00913667020549,-3.88959045564748,0.000358634737704529,0.0178332724371513
"202796_at",1.26502078587592,7.66226291468638,3.88880644959009,0.000359481501524406,0.0178355666134949
"219787_s_at",-1.52735308650392,5.78204509518828,-3.87778783350697,0.000371588998485345,0.018209147873052
"202555_s_at",1.18420795869156,9.9971175458894,3.87362463902882,0.000376265653952184,0.0183014628233467
"204485_s_at",-1.03300252714577,7.26648807649985,-3.85422572118968,0.00039881922886723,0.0188590864574572
"218197_s_at",-1.05087603699159,7.87986441922453,-3.8523059253035,0.000401121096425295,0.0188690802532749
"220038_at",-1.08421730735775,4.85102327848786,-3.85131460802775,0.000402314731920708,0.0188690802532749
"211549_s_at",-1.43835325558976,6.24592821340708,-3.85129793672096,0.000402334835045363,0.0188690802532749
