"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"202654_x_at",-0.668013261118069,6.73631767998748,-2.86516911468568,0.00653107171703196,0.0228259624474931
"209659_s_at",-0.371428598375761,9.33648548630688,-2.86507479000454,0.00653268938902202,0.0228280347481166
"215035_at",0.305450363987736,4.80303751127059,2.86462294778094,0.00654044368182036,0.0228515470357453
"217600_at",0.488816973542326,5.57329633477233,2.86446628335794,0.00654313428158891,0.0228573627710454
"205343_at",-0.434731707096303,4.46555238988737,-2.86385234286658,0.00655368821825707,0.022890641649124
"211406_at",-0.32777366283786,6.21484258534048,-2.86366019398083,0.00655699461004132,0.0228985999259901
"206757_at",-0.491598492907952,3.86768832056,-2.86305219551931,0.00656746695715235,0.0229315770226462
"220319_s_at",-0.598296216031861,8.43463344874013,-2.86291866933081,0.0065697689388203,0.0229360198480019
"212908_at",-0.310063997259482,7.92166824771708,-2.86256227687065,0.00657591680139023,0.0229538857073911
"210356_x_at",-0.444766348774249,3.95746538941344,-2.86215357112876,0.00658297368157836,0.0229749184873133
"212868_x_at",0.289682716451478,6.07712992829015,2.86170600756804,0.00659070959260123,0.022996921649782
"213470_s_at",-0.566424645275723,6.17671723187818,-2.86161642934531,0.00659225892429161,0.022996921649782
"209971_x_at",-0.450284770242623,8.6755914166436,-2.86160970913711,0.00659237516970453,0.022996921649782
"216635_at",-0.412149637903568,4.69727626233425,-2.86133910009295,0.00659705772237644,0.0230096531832441
"214967_at",-0.849732202464895,5.54799797382238,-2.86122353574873,0.0065990583638386,0.0230130280480953
"206605_at",0.409364321890219,4.5187984863418,2.86103795983247,0.006602272223528,0.02302063207443
"205867_at",-0.255574638060045,3.40454494242208,-2.86031557400344,0.00661479661444104,0.0230606923599222
"201371_s_at",-0.495729484935598,9.00840009221882,-2.85986743338937,0.00662257739279279,0.0230842053793217
"218423_x_at",-0.483748298916126,7.42552709582792,-2.85939132740588,0.00663085305884273,0.0231094357934668
"205993_s_at",-0.405683634803455,6.78575612142015,-2.85921344435315,0.00663394749101701,0.0231166038256509
"217114_at",0.267064746543786,4.58294692733024,2.85905828522947,0.00663664771915515,0.0231223961901187
"210253_at",0.326643570638288,5.58334634193077,2.85874592819364,0.00664208676278051,0.023137727414302
"211452_x_at",-0.453967464520465,10.468601147415,-2.85801542942908,0.00665482308834597,0.0231784699717141
"220201_at",-0.384519788750965,6.03311966912826,-2.85789826770022,0.00665686793212329,0.0231819676291872
"202505_at",-0.398541599264105,9.43556686306359,-2.85766270321088,0.00666098105158763,0.0231897307757546
"218603_at",0.55782127910164,8.02207620263511,2.85765136301508,0.00666117911900406,0.0231897307757546
"215358_x_at",0.736078684625622,5.24182696686416,2.85748330932427,0.00666411498149623,0.0231963264754362
"218955_at",0.286832037479577,7.7039613751238,2.85663683352704,0.00667892107350554,0.0232442313317424
"209303_at",0.38377492121573,9.02505581475425,2.85621808111799,0.00668625698762711,0.0232661272904357
"201135_at",-0.481231886726357,10.0890598112264,-2.85589873511295,0.0066918564952502,0.0232819751904871
"213938_at",0.438051377887622,4.58034787339035,2.85550959384459,0.00669868571915108,0.0233020958409632
"204811_s_at",0.617895151001332,6.63713746958373,2.85541561998146,0.00670033588388505,0.0233041971093376
"213764_s_at",1.50356835854902,4.76233315318528,2.85308024308887,0.00674146654422306,0.0234435919771553
"218865_at",-0.52688658734563,7.33559879185541,-2.85277039470271,0.00674694123257688,0.0234586971993535
"222201_s_at",-0.683018605621971,6.59200933531298,-2.85266250626067,0.00674884847737849,0.0234586971993535
"215266_at",-0.305041654554954,5.8939294320897,-2.85265566937487,0.00674896935631623,0.0234586971993535
"201093_x_at",-0.315541154523343,9.33005106582608,-2.8524673260566,0.00675230013635271,0.0234666131259796
"200022_at",0.211542879396472,12.8409177852353,2.85172407163486,0.00676545925772913,0.0235086781913012
"200712_s_at",-0.369173251727796,7.236072259142,-2.85105225925039,0.00677737406589237,0.0235464070595578
"201704_at",0.338010401354659,7.90744160879791,2.8508777868048,0.00678047158602365,0.0235534953254091
"220941_s_at",-0.493729615927332,5.39080676737672,-2.85069185328338,0.00678377403319613,0.0235590358028146
"208905_at",-0.677175866168794,9.79315418545745,-2.85066890944681,0.00678418165260384,0.0235590358028146
"203640_at",0.737939006135106,9.02566817980344,2.85037536274187,0.00678939880658786,0.0235734783688214
"211573_x_at",-0.646699981378357,5.81478002153135,-2.84997834593224,0.00679646086118899,0.0235943211165197
"217055_x_at",-0.248950892519676,6.56194216633172,-2.84981301611461,0.00679940373166336,0.0236008596027212
"210944_s_at",0.432201851388352,6.7492963514901,2.84928996201222,0.00680872191204621,0.0236295214261806
"201136_at",0.38383764224473,9.30515653858411,2.84887098652296,0.00681619451465325,0.0236517702808303
"209825_s_at",-0.487003453375813,7.30979309979179,-2.84833156959349,0.00682582648729028,0.0236815039179825
"208824_x_at",-0.408154738701741,7.76145193246131,-2.84774068672409,0.00683639199558051,0.02371303440388
"217968_at",-0.410494212019974,7.31621583294471,-2.84770427392813,0.00683704358648476,0.02371303440388
"209482_at",-0.436434297002022,7.99067617196299,-2.84653895686858,0.00685792698717083,0.0237817620630767
"203883_s_at",0.631882083817638,8.13728664834972,2.84643218812364,0.00685984333465204,0.0237847050530807
"220539_at",-0.351345492405495,4.39799921671622,-2.84610453193616,0.00686572741185709,0.0238014020469873
"207585_s_at",0.288991058493606,10.7162462650495,2.84593964594259,0.00686869022552562,0.0238079682828745
"221268_s_at",-0.664909147076528,5.2561893802311,-2.84573076570718,0.00687244527501383,0.0238172780633919
"213208_at",0.445765687486858,7.47615325739763,2.84469591623259,0.00689107702005487,0.0238781338895259
"208071_s_at",0.373623014270724,6.04577993188615,2.8442083379715,0.00689987181736606,0.0239048902761219
"204662_at",-0.572703436580531,6.74617208122052,-2.84370428443214,0.00690897477623814,0.0239327058140658
"219618_at",-0.31842332223327,6.15143401007188,-2.84359683097208,0.00691091677812991,0.0239357109866916
"213433_at",0.350013992441048,6.02128383838081,2.84328923739551,0.00691647871392613,0.0239512507865898
"217772_s_at",-0.468583535344445,8.46081382074163,-2.842934718189,0.00692289433274565,0.0239697415372357
"209435_s_at",0.379928253975793,8.68510389379965,2.84253296868133,0.00693017135932157,0.023988346731596
"203402_at",0.373119306090764,6.89308767317804,2.84251916639056,0.00693042149142845,0.023988346731596
