"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"215382_x_at",1.68989222576645,6.61956387509498,5.85155420482232,6.90391361074942e-07,3.35072948816263e-05
"218345_at",1.80372603632584,8.35312913699504,5.84759428531311,6.99421598564271e-07,3.38717716330788e-05
"205683_x_at",2.13936475248583,6.96646459779437,5.84416417310289,7.07338850393667e-07,3.41068995026401e-05
"204730_at",1.242258165773,5.7349087895575,5.84312583905299,7.09753076462096e-07,3.41493937026914e-05
"209087_x_at",1.60389097141517,7.98956823190285,5.829230059197,7.42864446455895e-07,3.51502699976834e-05
"208070_s_at",-1.80633868815732,8.86379901208804,-5.82910142989364,7.43178038735417e-07,3.51502699976834e-05
"217757_at",1.10407874488584,10.9638219889102,5.82398575971397,7.55757450922021e-07,3.54804062079945e-05
"203813_s_at",1.87658405960419,7.20250417617288,5.8212869484139,7.62479171192366e-07,3.56491548095356e-05
"207134_x_at",2.09695982230213,7.06255575998394,5.81541188102251,7.77318663717e-07,3.61509976443082e-05
"221011_s_at",1.55547386788824,8.69715276894681,5.80247273525261,8.11024584174619e-07,3.75270619509239e-05
"216504_s_at",-1.22808633040145,4.45953988380934,-5.80212115728248,8.11960491104965e-07,3.75270619509239e-05
"212914_at",1.39900229188186,8.37639555354037,5.79864873774953,8.21262186917818e-07,3.78783804098721e-05
"203649_s_at",3.75097142765491,8.06313785798369,5.79716688302666,8.25263966270685e-07,3.79843086293637e-05
"219102_at",1.05384167239737,7.40638691367105,5.79565552420524,8.29365453732111e-07,3.8094379820186e-05
"221127_s_at",1.55942168194952,6.30354414230634,5.79162157388586,8.40412497893617e-07,3.83261062471763e-05
"205339_at",-1.35227996951615,5.93777531319051,-5.79130262375769,8.41292182738665e-07,3.83261062471763e-05
"202200_s_at",-1.03416221356774,8.23336447075193,-5.78752113325163,8.51792019382374e-07,3.87252465628186e-05
"207677_s_at",1.32778612537179,5.14002598313044,5.78645444804691,8.54777379281169e-07,3.87818241919483e-05
"38487_at",1.14413398622706,8.36514930775372,5.77655480758,8.8298632138851e-07,3.98991608145473e-05
"204014_at",-1.72462286274554,6.54536099377161,-5.77383403636972,8.90900467269103e-07,4.01752828124571e-05
"219649_at",-1.00367822173167,7.33499040849216,-5.76843860204964,9.0680443921954e-07,4.07275856703502e-05
"210832_x_at",1.87459728457312,5.98315721108342,5.7637188167535,9.20948754237518e-07,4.11531018977707e-05
"219593_at",1.17646501217019,7.17251435648794,5.76343025670736,9.21820615297733e-07,4.11531018977707e-05
"221019_s_at",1.53517107674771,7.13915524762836,5.76007644163172,9.32014463006618e-07,4.15249723847969e-05
"219761_at",1.06107812947403,5.65235493047789,5.75537592898146,9.46490975958957e-07,4.20019511383221e-05
"211958_at",2.14912393208236,8.55299021175195,5.75462979537227,9.48809424338235e-07,4.20211283220335e-05
"200904_at",1.25523453530199,9.67555149597267,5.75303719209038,9.53777050154748e-07,4.21573240997963e-05
"206812_at",1.0811221745004,5.49214874269578,5.75174026761421,9.57841546698839e-07,4.22508388127137e-05
"207950_s_at",-1.29902762380506,5.44830008392117,-5.75115354514559,9.59685973839976e-07,4.22508388127137e-05
"203859_s_at",1.13157506872173,8.12996027452141,5.74955088029399,9.64742192780419e-07,4.23896683009258e-05
