"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"205475_at",2.20188295253238,5.36216274437033,6.74184308370919,3.71768637905128e-08,0.000828188994661254
"209621_s_at",2.84348648193786,7.25151815086284,6.51805759869117,7.73839168355105e-08,0.000861940757672334
"209613_s_at",3.7248973476707,5.15458703709352,6.35319262146369,1.32925912299186e-07,0.000975021757075142
"209612_s_at",3.57382776496584,5.82858199594575,6.09196004788675,3.1350762267461e-07,0.00138357634704373
"211276_at",2.55658577646303,6.52072700181745,6.02657328343561,3.88622016930339e-07,0.00138357634704373
"208396_s_at",1.65233113516794,5.87380331418977,5.99241949965804,4.34754878543165e-07,0.00138357634704373
"204940_at",2.56105738536624,4.14528224334585,5.94274474661465,5.11787396967526e-07,0.0014251359802807
"216331_at",1.46788222127593,7.122829114828,5.85664123179188,6.7896135880896e-07,0.00147055587916944
"205330_at",1.76602330833508,6.78700405212216,5.8396797482991,7.17824639608389e-07,0.00147055587916944
"203705_s_at",2.30986760217428,6.35103281330893,5.83617176327211,7.26135236830084e-07,0.00147055587916944
"206049_at",1.6623389879175,6.37303130879459,5.7555999297818,9.45796044971488e-07,0.00151529277010845
"205357_s_at",1.94785881090752,5.04860983096152,5.752990715437,9.53922408190361e-07,0.00151529277010845
"204223_at",2.72278963400521,7.39950815272918,5.74718299558346,9.72261232228613e-07,0.00151529277010845
"203797_at",1.5579844843668,5.65255788968876,5.73247016543033,1.02030756168365e-06,0.00151529277010845
"209663_s_at",1.2349628770158,6.06358384151297,5.68815232362059,1.17980521646458e-06,0.00154974590439664
"204584_at",1.27783000121072,4.61538014655192,5.68741976686926,1.18264040825708e-06,0.00154974590439664
"209840_s_at",1.57661941349345,5.31928155125653,5.63034205807464,1.42574730088021e-06,0.00171135335687823
"202222_s_at",2.72317363362374,7.0675704521032,5.62317243751388,1.45960918349358e-06,0.00171135335687823
"211892_s_at",1.18858053830175,4.82954590082381,5.60610335490228,1.54348311076354e-06,0.00171920866292397
"202992_at",4.05139901207224,8.09416031585354,5.57600100076518,1.70325776823145e-06,0.00175458345479256
"214027_x_at",1.90484386016642,7.75784306281107,5.57075040112193,1.73276635118896e-06,0.00175458345479256
"205109_s_at",1.31683276118873,6.28875713795652,5.55356449562217,1.83295597063711e-06,0.00177533739816882
"204424_s_at",2.34258731074303,5.11516802003848,5.52928338744269,1.98440789191695e-06,0.00184194394200974
"205399_at",1.65394355517313,6.41959195637126,5.50320139346306,2.16098261549588e-06,0.00192560838901606
"222043_at",2.31307149054793,6.65238400986516,5.49053629384266,2.25227673599919e-06,0.00192976803260977
"204939_s_at",2.40023007856903,6.5169632287045,5.43194666313757,2.72708751876491e-06,0.00217775732544275
"203706_s_at",2.49052876699797,6.97027833753233,5.40976031892356,2.93179238591615e-06,0.00225212203382945
"206070_s_at",1.824095009251,4.05427415223808,5.36607917538842,3.38048243023006e-06,0.00251023356994117
"209220_at",2.63030427514938,6.61510562107983,5.35146560073024,3.54532357253241e-06,0.0025477152653324
