"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","20/664","134/9411",0.149253731343284,2.11540190613199,3.58285548632934,0.00109256138419115,0.0109880459210081,0.0109880459210081,"PLA2G4A/CALD1/PLCB4/RAMP3/ACTG2/EDN3/AGTR1/PLA2G5/PLA2G2A/ACTA2/MYLK/KCNMA1/PRKCQ/PLCB1/KCNMB1/NPR1/MYL9/PPP1R12B/ITPR1/MYH11",20
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","39/664","333/9411",0.117117117117117,1.65992347769456,3.37807972459121,0.00114811470940036,0.0112260104919146,0.0112260104919146,"THBS4/FZD7/PIK3R1/ITGA8/ITGB8/COL6A1/LAMA4/THBS1/KRAS/COMP/MAGI1/TNXB/COL4A4/ITGA6/CCNE2/TCF7L1/THBS2/MX1/COL4A3/TNC/HEY2/FZD5/DLG1/FZD4/COL4A6/ITGA5/ATR/PATJ/LAMB2/CCNA2/CDKN1A/COL6A2/PPP2R5C/HLA-E/VWF/WNT2B/FZD6/ITGA7/CCND2",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","35/664","299/9411",0.117056856187291,1.65906938791957,3.19087041253833,0.00203873560416564,0.0193700335080091,0.0193700335080091,"PIK3R1/ARPC3/CDH1/CD2AP/MAGI1/NRCAM/CXADR/ROBO3/JAM2/SLIT2/CADM3/L1CAM/SLITRK3/MYLK/NFASC/NRP2/PRKCQ/ITGA5/ANK3/ACTR2/JAM3/SORBS1/SSX2IP/NLGN1/ANK2/MYL9/KDR/NCAM1/ICAM1/SLIT3/SPTAN1/FGFR1/MYH11/PMP22/ICAM2",35
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","17/664","112/9411",0.151785714285714,2.15128818846816,3.37694684531748,0.00209108316279644,0.0193700335080091,0.0193700335080091,"LY96/HLA-DQA2/HLA-DPB1/LAMA4/ITGA6/HLA-DPA1/HSPA6/HLA-DRB4/MAP2K6/HLA-DRB5/CD40/HLA-DQB1/HLA-DQA1/HLA-DRA/LAMB2/HLA-DRB3/HLA-DRB1",17
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","16/664","103/9411",0.155339805825243,2.20166101298397,3.37848258185593,0.00219364775345849,0.0196916977028169,0.0196916977028169,"COL11A1/COL7A1/COL6A1/ELN/COL4A4/MME/COL14A1/COL4A3/CPA3/COL4A6/SLC3A1/COL10A1/COL16A1/COL13A1/COL6A2/COL8A2",16
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","20/664","142/9411",0.140845070422535,1.99622433395554,3.29559750146629,0.00223769292077465,0.0196916977028169,0.0196916977028169,"CSF1R/TYROBP/PIK3R1/ATP2A3/FOSB/GAB2/SIRPA/FHL2/MAP2K6/FCGR2A/BLNK/SOCS3/NCF4/FCGR2B/FOS/FCGR2C/NCF2/NFATC1/ITPR1/JUNB",20
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/664","78/9411",0.166666666666667,2.36219879518072,3.32833052767989,0.00295202562808595,0.025344220026494,0.025344220026494,"C1QA/LY96/SERPING1/C4B_2/C4B/C4A/C3/C1R/C1QB/ITGA5/C1S/FOS/C2",13
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","16/664","109/9411",0.146788990825688,2.08046866364541,3.12598252061065,0.00393181933637235,0.0324263360327515,0.0324263360327515,"IL4R/HLA-DQA2/HLA-DPB1/HSP90AA1/HLA-DPA1/STAT5B/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/PRKCQ/HLA-DRA/FOS/NFATC1/HLA-DRB3/HLA-DRB1",16
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","34/664","300/9411",0.113333333333333,1.60629518072289,2.94043110567942,0.00396117173127363,0.0324263360327515,0.0324263360327515,"FLT1/RPS6KA5/CSF1R/FGF9/FGFR2/PLA2G4A/KRAS/FGF7/NGF/FLNA/RRAS/HSPA6/MAP2K6/PDGFA/MECOM/VEGFD/NGFR/DUSP1/CACNB2/MET/FOS/GADD45B/KDR/MAP3K1/DUSP4/MEF2C/NR4A1/PDGFD/FGFR1/NTRK2/NFATC1/ERBB4/ERBB3/FLT3LG",34
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","16/664","110/9411",0.145454545454545,2.06155531215772,3.0854849787778,0.00430938278285342,0.0344750622628274,0.0344750622628274,"LRRC32/EMP3/BMP4/THBS1/FMOD/GREM1/MICOS10-NBL1/INHBA/BAMBI/GREM2/DCN/BMP6/NBL1/GDF7/LEFTY2/FST",16
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","12/664","75/9411",0.16,2.26771084337349,3.03682456227085,0.00590756387862231,0.0462102774505568,0.0462102774505568,"PIK3R1/GSTM3/MSH2/BIRC5/GSTM4/BRCA1/REV3L/TOP2A/CDKN1A/PMAIP1/GSTM5/GSTM1",12
