"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","11/72","233/9411",0.0472103004291846,6.17077968526466,7.01731286663399,1.35228333046774e-06,0.000476003732324644,0.000476003732324644,"CSRP1/SGCG/LDB3/MYH11/MYOZ3/PDLIM3/SYNE3/DES/ACTG2/ITGA7/COL4A3",11
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","9/72","254/9411",0.0354330708661417,4.63139763779528,5.15139592609678,0.000127139193885159,0.0223764981237879,0.0223764981237879,"NTRK2/PTGER3/PDE1A/NGF/CASQ2/PLN/PTGFR/AGTR1/VEGFD",9
