"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","34/1448","150/9416",0.226666666666667,1.47395948434622,2.49436773544782,0.0112172041345617,0.0464524218278321,0.0377721916096188,"FGF9/PIK3R1/APC/CCNE2/FZD4/FRAT1/BAX/TCF7L1/KRAS/WNT5A/CCND1/PIK3CA/GADD45G/GADD45B/RPS6KB1/E2F3/RB1/SOS2/WNT4/TGFB3/CTNNA2/WNT2B/FZD5/CSNK1A1/WNT6/DVL3/TGFB1/CDKN1A/FZD2/AKT1/FZD7/SOS1/HGF/FZD6",34,FALSE
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","50/1448","238/9416",0.210084033613445,1.36612656112169,2.43873981543453,0.0115690043966708,0.0468285952742727,0.0380780722276428,"FGF9/PIK3R1/RALGAPA1/CSF1/CSF1R/CHUK/NGFR/RASA1/ABL1/PGF/RAB5A/GNG7/KRAS/RRAS/PLA2G10/BAD/PIK3CA/VEGFD/TBK1/VEGFB/PLA2G5/ANGPT2/CALM2/PLA2G2A/REL/SOS2/PAK5/TEK/PLA2G12A/PLA2G4A/RELA/MAPK8/PDGFB/CALM3/PDGFA/RALA/PTPN11/KDR/FLT3LG/NTRK2/IGF2/FLT1/NGF/GAB2/AKT1/PDGFRB/FGFR1/SOS1/PLA1A/HGF",50,FALSE
"Human Diseases","Immune disease","hsa05330","Allograft rejection","12/1448","39/9416",0.307692307692308,2.00084997875053,2.66986382026245,0.011574113036539,0.0468285952742727,0.0380780722276428,"HLA-B/HLA-E/FAS/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DRB4/HLA-DQB1/CD40/HLA-DPA1",12,FALSE
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","46/1448","216/9416",0.212962962962963,1.38484755473706,2.43916665194419,0.0117881414890331,0.0471525659561324,0.0383415048365271,"PIK3R1/PPP3R1/CHUK/CYP2J2/FAS/HSP90AA1/PYCARD/SELP/BAX/ITPR1/KRAS/HSP90B1/BAD/HSPD1/HSPA4/PIK3CA/MAP3K7/TBK1/NFE2L2/CAMK2G/FOS/CALM2/CYP2C8/MAPK12/ERO1A/NCF1/PLCB1/NOS3/NCF4/RELA/MAPK8/CASP3/IL6/CD40/CALM3/PLCB4/MAP2K6/TANK/EIF2AK3/NFATC1/TNFRSF1A/ICAM1/HSPA5/AKT1/LY96/CYCS",46,FALSE
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","24/1448","98/9416",0.244897959183673,1.59251324839328,2.51344583545605,0.0120036384523993,0.0474750644409501,0.0386037403472502,"PIK3R1/PIP5K1B/ARPC4/ARPC3/AMPH/PIK3CA/SPHK1/BIN1/FCGR2B/RPS6KB1/PLPP3/ACTR3/NCF1/CRK/PLA2G4A/INPP5D/PTPRC/WASF2/ASAP3/GSN/ACTR2/GAB2/AKT1/MYO10",24,FALSE
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","23/1448","93/9416",0.247311827956989,1.60821006356562,2.51267902458505,0.0122068913039931,0.0475656697390511,0.038677414884466,"ADCY3/HBEGF/MAPK7/ADCY7/ITPR1/KRAS/MAP3K1/CACNA1C/CAMK2G/CALM2/MAPK12/SOS2/PLCB1/PLA2G4A/ITPR2/EGR1/MAPK8/CALM3/PLCB4/MAP2K6/MMP2/ADCY9/SOS1",23,FALSE
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","52/1448","250/9416",0.208,1.35257458563536,2.40852335783705,0.0123228017184311,0.0475656697390511,0.038677414884466,"RAB11FIP1/EHD3/ARFGEF2/HLA-B/ARFGEF1/HLA-E/FOLR2/VPS4B/RAB11FIP2/RAB5A/AP2M1/PIP5K1B/KIF5B/CAPZA1/ARPC4/SMURF2/ARPC3/AMPH/SNX2/GRK5/PRKCI/BIN1/ARF3/CAPZB/DNM1/ACTR3/WASHC4/CYTH2/STAM2/EHD1/ZFYVE16/CLTB/CHMP5/TFRC/CAV1/ASAP3/SH3GL2/EPS15/CXCR4/ARFGAP3/ITCH/WWP1/CAPZA2/PML/IQSEC3/SNX4/EEA1/ACTR2/RAB11FIP5/ARAP2/EHD2/RAB11A",52,FALSE
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","20/1448","78/9416",0.256410256410256,1.66737498229211,2.52295828155908,0.0125649198432159,0.0475656697390511,0.038677414884466,"FCGR2C/C3/IL1A/HLA-DRB1/HLA-DRB3/MAP3K7/HLA-DRB5/HLA-DRA/FOS/MAPK12/HLA-DPB1/NCF1/NCF4/RELA/HLA-DRB4/HLA-DQB1/TGFB3/ITGA4/TGFB1/HLA-DPA1",20,TRUE
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","19/1448","73/9416",0.26027397260274,1.6924998107924,2.53196498302998,0.012567066152647,0.0475656697390511,0.038677414884466,"FGF9/PIK3R1/BAX/KRAS/BAD/CCND1/PIK3CA/GADD45G/GADD45B/E2F3/RB1/CDK4/PDGFB/PDGFA/CDKN1A/AKT1/PDGFRB/FGFR1/HGF",19,FALSE
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","26/1448","109/9416",0.238532110091743,1.55111764407725,2.46701896233167,0.0129759007095221,0.0485906069122531,0.0395108294142292,"PPP3R1/CHUK/IL4R/HIF1A/HSP90AA1/HLA-DRB1/PRKCQ/IL1R1/HLA-DRB3/HLA-DRB5/RARA/HLA-DRA/FOS/MAPK12/HLA-DPB1/RORA/RELA/HLA-DRB4/MAPK8/HLA-DQB1/IL6ST/IL6/TGFB1/STAT5B/NFATC1/HLA-DPA1",26,FALSE
