"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015931","nucleobase-containing compound transport","36/1507","236/18842",0.152542372881356,1.90723516246218,4.13519548812534,0.000131523872088086,0.00931759479371019,0.00931759479371019,"NUP54/YTHDC1/AGFG1/NXT2/SLC28A3/SLC35A2/SLC25A36/MX2/SMG1/ZC3H11C/XPO1/FMR1/SSB/RFTN1/LRPPRC/NUP58/LRRC8B/CETN3/HNRNPA1/SMG6/FXR1/MAGOH/RANBP2/THOC2/UPF3B/NEAT1/UPF2/NUP107/SLC35A3/ZC3H11A/SLC35A5/EIF4E/TPR/THOC1/SRSF7/SETD2",36
"GO:0070201","regulation of establishment of protein localization","58/1507","443/18842",0.130925507900677,1.63695980083912,4.00003190910354,0.000134352088606336,0.00935784121198199,0.00935784121198199,"PIK3R1/KIF20B/CEP290/PCM1/CORO2B/FLNA/IDH2/OS9/RHBDF1/MYRIP/AKT1/UBR5/IRS1/HSP90AA1/LYPLA1/TGFB1/FYN/BAD/SCFD1/TGFB3/KCNB1/JAK2/ARFIP1/VAMP4/F2RL1/CLOCK/TARDBP/ACSL3/SOX4/NUP58/CPAP/PDCD10/UFM1/BMP6/C2CD5/EXPH5/MYO18A/SAA1/ZFAND1/CAMK1/IL1A/ANK3/CD2AP/APOE/ACSL4/PRP4K/CD36/APP/CEP135/FRAT1/ADAM9/SEC24D/IL6ST/TPR/ECT2/TCAF1/RUFY3/P3H1",58
"GO:0051495","positive regulation of cytoskeleton organization","29/1507","175/18842",0.165714285714286,2.07192340506209,4.2004149180939,0.000135274915479331,0.00935784121198199,0.00935784121198199,"ROCK2/CCDC88A/SFRP1/FLNA/KATNBL1/RHOC/SPAST/OCLN/TOGARAM1/PLK4/SWAP70/TGFB3/F2RL1/TPM1/CCDC15/CDC42EP1/BAIAP2L2/CPAP/NCK1/NCKAP1/BIN1/AKAP9/ABL1/PDE4DIP/ADD3/FHOD3/NES/DCTN1/CLIP1",29
"GO:0006606","protein import into nucleus","25/1507","142/18842",0.176056338028169,2.20122994102638,4.23639254830767,0.000144478202232947,0.00987827708290379,0.00987827708290379,"KPNA4/PIK3R1/NUP54/FLNA/AKT1/UBR5/HSP90AA1/RGPD6/TGFB1/JAK2/TNPO1/IPO7/TARDBP/NUP58/KPNA1/UFM1/RGPD5/RANBP2/NUP107/CD36/APPL1/ATF2/TPR/ECT2/RGPD8",25
"GO:0033157","regulation of intracellular protein transport","24/1507","134/18842",0.17910447761194,2.23934078776654,4.24498479939743,0.000148097761112325,0.0100093659234537,0.0100093659234537,"PIK3R1/KIF20B/CEP290/PCM1/FLNA/OS9/AKT1/UBR5/HSP90AA1/TGFB1/JAK2/TARDBP/NUP58/PDCD10/UFM1/ZFAND1/CAMK1/PRP4K/CD36/FRAT1/SEC24D/TPR/ECT2/RUFY3",24
"GO:0070142","synaptic vesicle budding","6/1507","12/18842",0.5,6.25149303251493,5.36531141615638,0.000157026779834455,0.0104922439253022,0.0104922439253022,"BTBD8/MX2/AP3S2/DNM3/DNM1/MX1",6
"GO:0032388","positive regulation of intracellular transport","25/1507","143/18842",0.174825174825175,2.18583672465557,4.19691720704472,0.000162028352402752,0.0107047945182942,0.0107047945182942,"PIK3R1/KIF20B/CEP290/PCM1/PGAP1/FLNA/AKT1/UBR5/HSP90AA1/TGFB1/FEZ1/EHD2/JAK2/TARDBP/PDCD10/MSN/ZFAND1/CAMK1/SCP2/PRP4K/RDX/SEC24D/TPR/ECT2/RUFY3",25
"GO:0099111","microtubule-based transport","33/1507","212/18842",0.155660377358491,1.9462195289905,4.08507550583816,0.000167177216214482,0.0109222447926795,0.0109222447926795,"ATG5/HOOK1/DNAAF11/SFPQ/PCM1/IFT81/IFT88/DYNC2LI1/WDR19/AP3S2/SPAST/MAP1A/KIF5B/FEZ1/DNAAF1/IFT74/SSX2IP/DYNC2H1/MAK/LRPPRC/OFD1/DST/RPGR/CLIP3/TRAK1/APP/KIF3A/COPG1/OPA1/TTC21B/SYBU/IFT27/RUFY3",33
"GO:0010828","positive regulation of D-glucose transmembrane transport","11/1507","39/18842",0.282051282051282,3.52648324911099,4.65673829480723,0.000169907313358819,0.0109786264016467,0.0109786264016468,"PIK3R1/RHOQ/AKT1/IRS1/OCLN/OSBPL8/C2CD5/CLIP3/PRKCI/APPL1/PTPN11",11
"GO:0042306","regulation of protein import into nucleus","13/1507","52/18842",0.25,3.12574651625747,4.52581123000241,0.000171830233678876,0.0109821931959977,0.0109821931959977,"PIK3R1/FLNA/AKT1/UBR5/HSP90AA1/TGFB1/JAK2/TARDBP/NUP58/UFM1/CD36/TPR/ECT2",13
