"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034774","secretory granule lumen","48/1234","328/19979",0.146341463414634,2.36933233189706,6.41570399564975,2.26611938507783e-08,1.33352409968041e-06,1.33352409968041e-06,"SLPI/MNDA/TIMP1/SERPINA1/SELENOP/RARRES2/VEGFA/HP/APOA1/IGF1/GLA/OLFM4/QSOX1/PENK/SERPINA3/TIMP3/F8/QPCT/SERPING1/ADM/CFD/HSPA6/IGF2/LEFTY2/PROS1/THBS1/FN1/VWF/SERPINE1/GUSB/ECM1/CHIT1/GGH/SRGN/PDGFA/CHI3L1/FGG/CRISP3/CREG1/RNASET2/TCN1/ORM2/PTX3/CLU/ORM1/FTL/C3/LYZ",48
"GO:0019814","immunoglobulin complex","33/1234","183/19979",0.180327868852459,2.91958710843053,6.693226298715,2.44431995012498e-08,1.33564625846115e-06,1.33564625846115e-06,"IGKV1D-39/IGLC1/IGKV4-1/IGKV2D-28/IGLC3/IGKV1D-37/IGKV2-28/IGLV3-25/IGKV1-17/JCHAIN/IGLV2-14/IGLL5/IGLV1-44/IGKV1D-13/IGKV1-37/IGKV2-24/IGLV3-19/IGHV4-31/IGHA2/IGHV1-69/IGHA1/IGHG3/IGHM/IGKV1-5/IGLC7/IGKC/IGKV1-39/IGHV3-23/IGHG1/IGLV4-3/TRDV3/IGLC2/IGHV1-69-2",33
"GO:0060205","cytoplasmic vesicle lumen","48/1234","333/19979",0.144144144144144,2.33375677135807,6.29727335941395,3.67043569902376e-08,1.87192220650212e-06,1.87192220650212e-06,"SLPI/MNDA/TIMP1/SERPINA1/SELENOP/RARRES2/VEGFA/HP/APOA1/IGF1/GLA/OLFM4/QSOX1/PENK/SERPINA3/TIMP3/F8/QPCT/SERPING1/ADM/CFD/HSPA6/IGF2/LEFTY2/PROS1/THBS1/FN1/VWF/SERPINE1/GUSB/ECM1/CHIT1/GGH/SRGN/PDGFA/CHI3L1/FGG/CRISP3/CREG1/RNASET2/TCN1/ORM2/PTX3/CLU/ORM1/FTL/C3/LYZ",48
"GO:0031983","vesicle lumen","48/1234","334/19979",0.143712574850299,2.32676947563544,6.27384160696779,4.03592334055263e-08,1.92967584720172e-06,1.92967584720172e-06,"SLPI/MNDA/TIMP1/SERPINA1/SELENOP/RARRES2/VEGFA/HP/APOA1/IGF1/GLA/OLFM4/QSOX1/PENK/SERPINA3/TIMP3/F8/QPCT/SERPING1/ADM/CFD/HSPA6/IGF2/LEFTY2/PROS1/THBS1/FN1/VWF/SERPINE1/GUSB/ECM1/CHIT1/GGH/SRGN/PDGFA/CHI3L1/FGG/CRISP3/CREG1/RNASET2/TCN1/ORM2/PTX3/CLU/ORM1/FTL/C3/LYZ",48
"GO:0042611","MHC protein complex","11/1234","25/19979",0.44,7.1237925445705,7.86079285355759,9.51925605407375e-08,4.28366522433319e-06,4.28366522433319e-06,"HLA-E/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4",11
"GO:0009897","external side of plasma membrane","51/1234","378/19979",0.134920634920635,2.18442412080986,5.9649236708829,1.2088678659645e-07,5.13768843034911e-06,5.13768843034911e-06,"SERPINA5/TGFBR3/CD24/HLA-E/ENG/IL4R/CXCL12/GHR/HLA-DRB1/CD22/FCGR2B/TGFBR2/ABCA1/MUC16/ENPEP/NRCAM/KIT/FCGR1BP/SELE/ST14/ITGB2/FCGR2C/COLEC11/SLC4A3/PRNP/NCAM1/PDGFRA/CD59/CD248/FCGR1A/CD163/SCNN1A/THBS1/FCGR2A/VCAM1/CD40/SPA17/VTCN1/CD14/FGG/MCAM/INSR/IL6ST/IL7R/ICAM1/HEG1/THBD/ENOX1/CEACAM21/FAS/LEPR",51
"GO:0072686","mitotic spindle","30/1234","169/19979",0.177514792899408,2.87404217774496,6.27727763682952,1.49900103210015e-07,6.03545152398217e-06,6.03545152398217e-06,"TUBB2B/KIF23/AURKA/GEM/GPSM2/NEDD9/CKAP2/SPAG5/DLGAP5/PRC1/TPX2/KIF11/KAT2B/ASPM/TUBG1/CDK1/WNK1/ECT2/KIF20A/DPYSL2/MAD2L1/ESPL1/NUSAP1/SHCBP1/KLHL4/KIF18A/CENPE/KIF18B/AURKB/RACGAP1",30
"GO:0071953","elastic fiber","13/1234","37/19979",0.351351351351351,5.68853213018529,7.32393134397987,1.57834916947711e-07,6.03718557324994e-06,6.03718557324994e-06,"COL8A1/COL8A2/LTBP3/MFAP5/COL6A2/FBLN1/TGFBI/BGN/LTBP2/VCAN/COL16A1/FBN2/DCN",13
"GO:0051233","spindle midzone","13/1234","38/19979",0.342105263157895,5.53883391623305,7.1854419456174,2.26380267106678e-07,8.2467097303147e-06,8.2467097303147e-06,"AURKA/GEM/CCDC69/KIF14/CDCA8/PRC1/CDC6/BIRC5/KIF18A/CENPE/KIF18B/AURKB/RACGAP1",13
"GO:0016327","apicolateral plasma membrane","10/1234","22/19979",0.454545454545455,7.35928981877118,7.65708012449109,2.54187152600905e-07,8.83878053362238e-06,8.83878053362238e-06,"KRT19/OCLN/KRT8/CLDN3/CXADR/CLDN7/CLDN5/MPDZ/MTCL1/CLDN4",10
