"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","34/705","259/9416",0.131274131274131,1.75330102138613,3.49713618628028,0.000895758596433568,0.00985334456076925,0.00985334456076925,"HLA-E/TUBB2B/COLEC12/HLA-DRB1/FCGR2B/COMP/CYBA/ITGB2/FCGR2C/CTSL/MRC1/MSR1/STX18/COLEC11/THBS4/HLA-DRB3/FCGR1A/THBS1/THBS2/HLA-DRB5/FCGR2A/HLA-DPB1/HLA-DQB1/SCARB1/CD14/HLA-DRA/GABARAPL1/HLA-DPA1/EEA1/HLA-DQA1/HLA-DQA2/C3/HLA-DRB4/LYZ",34,FALSE
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","13/705","66/9416",0.196969696969697,2.63073286052009,3.78198410101356,0.00104212692147945,0.0111160204957808,0.0111160204957808,"IL4R/HLA-DRB1/TLR5/RORA/HLA-DRB3/HLA-DRB5/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4",13,FALSE
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","29/705","212/9416",0.136792452830189,1.82700388063696,3.46463817800741,0.00109619394821557,0.0113488314638789,0.0113488314638789,"CNR1/RAPGEF3/ID1/PLCB1/KIT/VEGFA/FGF7/IGF1/ITGB2/MET/DOCK4/RAPGEF4/PDGFRA/AKT3/LPAR4/THBS1/ANGPT1/CDH1/MAP2K6/PDGFA/FGFR2/INSR/RAPGEF5/NGF/FLT1/PDGFD/FGFR3/FYB1/FGFR1",29,FALSE
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","16/705","93/9416",0.172043010752688,2.29781133226569,3.57804590408588,0.00135243355044716,0.01360161742164,0.01360161742164,"TGFBR2/SSX2IP/LEF1/NECTIN3/SORBS1/ARHGAP29/MET/CDH1/MYL9/WASL/INSR/HEG1/WASF3/IQGAP1/CTNNA2/FGFR1",16,FALSE
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","22/705","155/9416",0.141935483870968,1.89569434911919,3.1986554015826,0.00264020703667733,0.0258153576919561,0.0258153576919561,"CCNE2/NR4A1/PLCB1/LEF1/AHR/WNT2B/CACNA1D/FZD10/KCNK3/ITPR1/STAR/AGTR1/FH/FZD5/WNT2/SCARB1/CYP11A1/FZD7/CDKN1A/CACNA1G/FZD4/CREB5",22,FALSE
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","12/705","65/9416",0.184615384615385,2.46572831423895,3.37327572518855,0.00285605096584187,0.02717107945882,0.02717107945882,"NR4A1/PLCB1/CACNA1D/KCNK3/ITPR1/STAR/AGTR1/SCARB1/CYP11A1/CACNA1G/NR0B1/CREB5",12,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","36/705","299/9416",0.120401337792642,1.60808368319932,3.03979069068425,0.00298213679528954,0.0276240039984715,0.0276240039984715,"TUBB2B/NLGN1/SSX2IP/MYH11/NRCAM/ANK2/SLIT3/NECTIN3/SORBS1/ITGB2/ANK3/CNTNAP2/NFASC/CXADR/NCAM1/NRP2/AKT3/JAM3/MYLK/CDH1/PLXNA2/MPDZ/MYL9/WASL/FGG/ROBO3/MTSS1/PMP22/NLGN4X/ICAM1/CADM1/SPTBN1/IQGAP1/PTPRZ1/FGFR1/MAG",36,FALSE
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","22/705","157/9416",0.140127388535032,1.87154537651895,3.13276992810977,0.00310255168307947,0.0280025177549737,0.0280025177549737,"HLA-E/CCNE2/CCNA2/CCNB1/TGFBR2/CCNA1/TRAF3IP2/FOXM1/IGFBP3/CACNA1D/ITPR1/TP53/AKT3/CDK1/SERPINE1/MAP2K6/CXCL8/GATA4/CHEK1/CCNB2/CDKN1A/CDC25A",22,FALSE
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","16/705","101/9416",0.158415841584158,2.11580647426445,3.20722071333022,0.00324643322502542,0.0285686123802237,0.0285686123802237,"TGFBR2/PLCB1/VEGFA/SELE/AGTR1/COL4A3/AKT3/FN1/CCL2/EGR1/SERPINE1/VCAM1/CXCL8/ICAM1/COL1A1/THBD",16,FALSE
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","29/705","232/9416",0.125,1.66950354609929,2.93732262412072,0.00429449757510527,0.0364329312485034,0.0364329312485034,"ITGA8/CXCL12/MYH11/ARHGEF4/ITGA7/PPP1R12B/ITGA6/FGF7/CHRM3/PIP5K1B/ITGB2/GNG12/PDGFRA/AKT3/LPAR4/FN1/C7/ARHGEF6/MYLK/MYL9/PDGFA/WASL/FGFR2/CYRIA/PDGFD/FGFR3/IQGAP1/ITGB8/FGFR1",29,FALSE
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","8/705","36/9416",0.222222222222222,2.96800630417652,3.36548012600126,0.00437778310321442,0.0364329312485034,0.0364329312485034,"POLE2/RNASEH2A/MCM2/PRIM2/MCM4/FEN1/RFC3/PCNA",8,FALSE
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","14/705","86/9416",0.162790697674419,2.17423717631536,3.11196671750201,0.00445061376047059,0.0364329312485034,0.0364329312485034,"SGCE/ITGA8/CACNB2/ITGA7/LEF1/ITGA6/CACNA1D/SGCD/DES/DSP/RYR2/CTNNA2/ITGB8/DMD",14,FALSE
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","12/705","69/9416",0.173913043478261,2.32278754239901,3.13725076618791,0.00475110203819829,0.0376163794655504,0.0376163794655504,"EDNRA/NPR1/PLCB1/PTGER4/CACNA1D/PTGER2/ITPR1/EDN3/AGTR1/PDE1A/KCNMA1/AQP1",12,FALSE
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","16/705","105/9416",0.152380952380952,2.0352043228639,3.03454286720339,0.00480891214758457,0.0376163794655504,0.0376163794655504,"PLN/SGCE/ITGA8/CACNB2/ITGA7/ITGA6/IGF1/CACNA1D/SGCD/TNNC1/DES/TPM1/RYR2/ITGB8/DMD/TPM2",16,FALSE
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","20/705","144/9416",0.138888888888889,1.85500394011032,2.94125964590772,0.00517945046089086,0.0391492064948139,0.0391492064948139,"DLX5/ID1/TBX3/TCF3/IGF1/MEIS1/WNT2B/FZD10/AKT3/LEFTY2/FZD5/WNT2/KLF4/FGFR2/IL6ST/FZD7/FGFR3/FGFR1/INHBA/FZD4",20,FALSE
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","8/705","37/9416",0.216216216216216,2.88778991757715,3.27300727147918,0.00522730882175072,0.0391492064948139,0.0391492064948139,"LAMA4/PLCB1/SELE/APOA1/VCAM1/ICAM1/FAS/HPR",8,FALSE
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","17/705","116/9416",0.146551724137931,1.95734898508193,2.95140300653779,0.00557434855370064,0.0408785560604714,0.0408785560604714,"CXCL12/RAPGEF3/OCLN/CYBA/CLDN3/CLDN10/ITGB2/RAPGEF4/CLDN7/JAM3/VCAM1/CLDN5/MYL9/CLDN4/ICAM1/CTNNA2/TXK",17,FALSE
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","27/705","216/9416",0.125,1.66950354609929,2.83176074662614,0.00574065317844292,0.0412389779349369,0.0412389779349369,"ABCA1/PLCB1/PPARG/CYBA/SELE/APOA1/HSPA1A/ITPR1/MAP3K5/TP53/HSPA6/AKT3/HSPA1B/CCL2/VCAM1/CD40/CYP2J2/MAP2K6/CASP1/CXCL2/CXCL8/CD14/ICAM1/VLDLR/LY96/FAS/XBP1",27,FALSE
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","21/705","157/9416",0.133757961783439,1.78647513213173,2.82698492761134,0.00656220188097457,0.045309881673764,0.045309881673764,"CDC50B/CD24/ABCA1/ELMO1/PPARG/C1QA/LRP1/DUSP2/PTGER4/PTGER2/C1QB/SIRPA/ODC1/PROS1/THBS1/STAB1/CASP1/DUSP4/SLC2A1/ARG2/ATP8A1",21,FALSE
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","15/705","99/9416",0.151515151515152,2.02364066193853,2.91271365849362,0.00656478399250558,0.045309881673764,0.045309881673764,"SGCE/ITGA8/CACNB2/ITGA7/ITGA6/IGF1/CACNA1D/SGCD/TNNC1/DES/TPM1/RYR2/ITGB8/DMD/TPM2",15,FALSE
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","16/705","109/9416",0.146788990825688,1.96051792569458,2.86935696308877,0.00693632481764577,0.0469535833809867,0.0469535833809868,"IL4R/HLA-DRB1/TGFBR2/RUNX1/AHR/RORA/HLA-DRB3/HLA-DRB5/HLA-DPB1/HLA-DQB1/IL6ST/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4",16,FALSE
