,sample_id,source,group
GSM629719,GSM629719,Endometrium,ectopic
GSM629720,GSM629720,Endometrium,eutopic
GSM629721,GSM629721,Endometrium,ectopic
GSM629722,GSM629722,Endometrium,normal
GSM629723,GSM629723,Endometrium,ectopic
GSM629724,GSM629724,Endometrium,normal
GSM629725,GSM629725,Endometrium,normal
GSM629726,GSM629726,Endometrium,ectopic
GSM629727,GSM629727,Endometrium,normal
GSM629728,GSM629728,Endometrium,ectopic
GSM629729,GSM629729,Endometrium,normal
GSM629730,GSM629730,Endometrium,ectopic
GSM629731,GSM629731,Endometrium,eutopic
GSM629732,GSM629732,Endometrium,ectopic
GSM629733,GSM629733,Endometrium,eutopic
GSM629734,GSM629734,Endometrium,eutopic
GSM629735,GSM629735,Endometrium,normal
GSM629736,GSM629736,Endometrium,eutopic
GSM629737,GSM629737,Endometrium,eutopic
GSM629738,GSM629738,Endometrium,eutopic
GSM629739,GSM629739,Endometrium,eutopic
GSM629740,GSM629740,Endometrium,ectopic
